Sample_01_1 	Sample_01_2 	Sample_01_3 	Sample_02_1 	Sample_02_2 	Sample_02_3 	Sample_03_1 	Sample_03_2 	Sample_03_3 	Sample_06_1 	Sample_06_2 	Sample_06_3 	Sample_07_1 	Sample_07_2 	Sample_07_3 	Sample_08_1 	Sample_08_2 	Sample_08_3 	Sample_09_1 	Sample_09_2 	Sample_09_3 	Sample_10_1 	Sample_10_2 	Sample_10_3 	Sample_12_1 	Sample_12_2 	Sample_12_3 	Sample_13_1 	Sample_13_2 	Sample_13_3 	Sample_15_1 	Sample_15_2 	Sample_15_3
ti|420247|org|Methanobrevibacter_smithii_ATCC_35061 	0 	0 	0 	0 	0 	0 	24816 	15085 	36905 	0 	0 	0 	0 	0 	0 	0 	0 	0 	6992 	9539 	2041 	0 	0 	0 	2043 	0 	0 	0 	0 	0 	0 	0 	0
ti|347253|org|Streptococcus_salivarius_JIM8777 	0 	0 	0 	2303 	0 	1372 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3011 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|1069533|org|Streptococcus_infantarius_subsp._infantarius_CJ18 	0 	0 	0 	0 	0 	4367 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|479436|org|Veillonella_parvula_DSM_2008 	0 	493 	0 	459 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|657314|org|Ruminococcus_obeum_A2-162 	202 	514 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	5217 	2145 	2720 	0 	1880 	0 	0 	0 	0
ti|245012|org|butyrate-producing_bacterium_SM4/1 	0 	0 	0 	4284 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|717961|org|Eubacterium_siraeum_V10Sc8a 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2517 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|515620|org|Eubacterium_eligens_ATCC_27750 	0 	0 	0 	292 	390 	0 	3643 	7411 	0 	24902 	19629 	17120 	3953 	2146 	3160 	16682 	8362 	3365 	0 	2104 	2345 	0 	30927 	6931 	0 	5476 	0 	20138 	3891 	24017 	6448 	4853 	4302
ti|862965|org|Haemophilus_parainfluenzae_T3T1 	0 	0 	0 	1089 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|679935|org|Alistipes_finegoldii_DSM_17242 	2911 	5580 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1434 	3874 	2950 	2253 	0 	0 	0 	0 	1604 	0 	0 	0 	0 	0 	3053 	0 	0 	0 	0 	0 	0
others 	332 	822 	46 	389 	455 	2820 	6207 	7754 	11119 	1469 	1525 	956 	3300 	1122 	3005 	8104 	5113 	3930 	4182 	2590 	2935 	7296 	5114 	5398 	6298 	2410 	3118 	6204 	7288 	3624 	17298 	15595 	11057
ti|657323|org|Ruminococcus_sp._SR1/5 	1963 	2560 	4496 	0 	0 	0 	11856 	3375 	20961 	0 	0 	0 	2558 	296 	1210 	5578 	4890 	4593 	0 	0 	0 	5597 	3927 	2845 	3890 	5952 	4860 	2462 	2928 	1317 	5308 	0 	0
ti|701521|org|Pediococcus_claussenii_ATCC_BAA-344 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	4770 	0 	0 	0 	0
ti|299768|org|Streptococcus_thermophilus_CNRZ1066 	0 	0 	21 	0 	835 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1142 	0 	0 	0 	0 	0
ti|272559|org|Bacteroides_fragilis_NCTC_9343 	5392 	6083 	14925 	57773 	46372 	4683 	0 	0 	0 	1670 	1128 	5422 	0 	0 	0 	0 	0 	0 	17121 	3309 	8198 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|435590|org|Bacteroides_vulgatus_ATCC_8482 	122462 	119085 	188256 	0 	0 	0 	8326 	17412 	10684 	15819 	27872 	70774 	68653 	139064 	159312 	89966 	68487 	100208 	0 	0 	0 	27823 	29065 	12888 	32910 	50818 	102213 	10116 	5820 	52580 	43526 	28936 	52436
ti|709991|org|Odoribacter_splanchnicus_DSM_20712 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1538 	0 	0 	1718 	0 	0 	0
ti|536056|org|Escherichia_coli_DH1 	0 	0 	0 	312 	288 	1623 	0 	0 	0 	0 	0 	0 	0 	0 	1336 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|717962|org|Coprococcus_catus_GD/7 	382 	520 	141 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2590 	1197 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	3574
ti|391904|org|Bifidobacterium_longum_subsp._infantis_ATCC_15697_=_JCM_1222 	0 	0 	0 	0 	0 	0 	0 	2861 	3490 	0 	0 	0 	0 	0 	0 	8332 	2717 	0 	0 	0 	0 	3733 	3405 	8055 	0 	0 	0 	1137 	0 	0 	0 	0 	0
ti|657318|org|Eubacterium_rectale_DSM_17629 	7207 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	49478 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|595495|org|Escherichia_coli_KO11FL 	0 	0 	0 	0 	295 	731 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|1064535|org|Megasphaera_elsdenii_DSM_20460 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	2105 	6599 	0 	0 	0 	0 	0 	0
ti|657322|org|Faecalibacterium_prausnitzii_SL3/3 	5223 	13690 	1438 	0 	0 	0 	5978 	7391 	12134 	92114 	24028 	35866 	20976 	7242 	5127 	22156 	30412 	14246 	26550 	19979 	40287 	77602 	83520 	12457 	76160 	87501 	29746 	81115 	97052 	69726 	10817 	24738 	26446
ti|657315|org|Roseburia_intestinalis_M50/1 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	8909 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|245018|org|butyrate-producing_bacterium_SSC/2 	3717 	2898 	145 	22545 	56187 	37708 	6796 	0 	8938 	6737 	19221 	3440 	2314 	263 	0 	4322 	27361 	7425 	18838 	5972 	1270 	4216 	1654 	3218 	2280 	2100 	0 	2037 	1854 	1678 	3452 	4324 	2289
ti|657313|org|Ruminococcus_torques_L2-14 	0 	0 	0 	0 	0 	0 	0 	3234 	0 	536 	1214 	2211 	0 	0 	0 	0 	0 	2238 	0 	0 	0 	0 	0 	0 	2951 	1116 	2954 	1243 	0 	0 	9431 	5707 	7488
ti|657321|org|Ruminococcus_bromii_L2-63 	0 	0 	0 	0 	0 	0 	16145 	6567 	4418 	1805 	1844 	0 	6131 	4634 	2320 	4402 	4091 	7342 	47088 	68756 	43995 	1679 	9937 	6382 	0 	0 	0 	0 	0 	0 	0 	4400 	0
ti|717608|org|Clostridium_cf._saccharolyticum_K10 	0 	0 	212 	0 	7298 	37063 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0
ti|568816|org|Acidaminococcus_intestini_RyC-MR95 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	778 	0 	2649 	3845 	11554 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1522 	12340 	0 	0 	0
ti|702459|org|Bifidobacterium_bifidum_PRL2010 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	1858 	0 	2158 	0 	0 	0 	0 	0 	0 	0 	0 	0
